Token Number,Rates,length,index_in_dataset,occurrence_number,device
3694,[0.371428571.],2448,60,2,disk
15346,[0.371428571.],10673,138,2,disk
17781,[0.371428571.],13868,88,2,disk
14296,[0.371428571.],9574,5,2,disk
9356,[0.371428571.],6386,52,2,disk
10267,[0.371428571.],7870,134,2,disk
4549,[0.371428571.],3082,128,2,disk
15716,[0.371428571.],11178,169,2,disk
10145,[0.371428571.],6954,100,2,disk
3029,[0.371428571.],1918,165,2,disk
5277,[0.371428571.],3234,190,2,disk
16210,[0.371428571.],12342,34,2,disk
15709,[0.371428571.],11169,43,2,disk
7003,[0.371428571.],4694,109,2,disk
10067,[0.371428571.],7341,49,2,disk
3237,[0.371428571.],2161,103,2,disk
15565,[0.371428571.],10497,166,2,disk
12994,[0.371428571.],8710,36,2,disk
7515,[0.371428571.],5004,158,2,disk
9542,[0.371428571.],6406,0,2,disk
8511,[0.371428571.],5874,63,2,disk
15984,[0.371428571.],10777,59,2,disk
15401,[0.371428571.],11310,161,2,disk
3369,[0.371428571.],2148,115,2,disk
10958,[0.371428571.],8486,105,2,disk
5131,[0.371428571.],3380,139,2,disk
8549,[0.371428571.],5832,73,2,disk
15347,[0.371428571.],10674,13,2,disk
6043,[0.371428571.],3938,183,2,disk
16636,[0.371428571.],11240,7,2,disk
6468,[0.371428571.],4339,119,2,disk
1845,[0.371428571.],1220,41,2,disk
25471,[0.371428571.],20275,189,2,disk
13410,[0.371428571.],8563,21,2,disk
5172,[0.371428571.],3507,12,2,disk
8756,[0.371428571.],6053,193,2,disk
17926,[0.371428571.],12252,95,2,disk
16194,[0.371428571.],12328,50,2,disk
14043,[0.371428571.],9449,52,2,disk
15356,[0.371428571.],10366,43,2,disk
14607,[0.371428571.],9804,35,2,disk
30488,[0.371428571.],24579,166,2,disk
9362,[0.371428571.],6394,53,2,disk
18640,[0.371428571.],15403,80,2,disk
10429,[0.371428571.],6914,144,2,disk
10590,[0.371428571.],7136,145,2,disk
5628,[0.371428571.],3980,174,2,disk
6031,[0.371428571.],4765,102,2,disk
2149,[0.371428571.],1415,57,2,disk
16708,[0.371428571.],11366,197,2,disk
12588,[0.371428571.],9197,130,2,disk
7918,[0.371428571.],5308,108,2,disk
9364,[0.371428571.],6395,48,2,disk
6673,[0.371428571.],4802,187,2,disk
15348,[0.371428571.],10675,54,2,disk
